,sex,exam1,exam2,exam3,course_grade
110,Woman,79.5,56,81,68.25
111,Man,93.9,88,71,80.06
112,Man,73.5,78.5,72,77.0333
113,Man,94.8,84.5,77.5,84.17
114,Woman,66,62,80.5,70.9333
115,Man,96.3,82,76,79.9867
116,Man,93.3,93,92.5,89.8033
117,Man,87.3,81,78.5,85.7367
118,Man,79,81,91,78.1222
119,Man,84,81,91,75.0333
120,Woman,81,81.5,70,74.2167
121,Woman,84.5,71.5,76,73.9833
122,Woman,90.625,61.5,59.5,66.6958
123,Woman,91.5,58,79.5,74.9888
124,Man,84,72.5,76,75.7
125,Man,73.2,44,50.9,47.9
126,Man,70.5,42.8,36.4,48.05
127,Woman,92.9,88.5,79,86.65
128,Man,68.8,52.1,65.4,55.95
129,Man,91.3,71,79.5,77.825
130,Man,78.3,46.5,63.9,56.725
131,Man,71.3,43,67.4,58.375
132,Man,74.9,65.4,51.5,56.075
133,Man,90.5,71.5,69.5,78.5
134,Man,80.3,63,64,64.7
135,Woman,79,74.5,72.5,68.325
136,Man,82.5,62.5,77.5,73.5
137,Man,79.7,84.4,77.3,75.55
138,Man,79.5,77.9,62,68.35
139,Man,79.5,68.7,87,81.75
140,Man,93,70.9,67.5,70.425
141,Man,88.5,79.5,82,80.5
142,Woman,86,73,47,66
143,Man,93.8,68.5,66.4,74.875
144,Woman,93.9,84,83.5,88.225
145,Man,83.3,83,78,82.575
146,Man,75.1,70,61,64.025
147,Man,92.9,83,84.5,84.15
148,Man,76.5,41.5,48,53.075
149,Woman,84.1,88.8,75.5,81.55
150,Man,87.9,58.2,67,63.525
151,Woman,79.5,66,67.5,69.125
152,Man,82,53.5,52,54.5
153,Woman,91.4,77,76,76.1
154,Man,84.9,69.5,37.3,60.3
155,Man,58,61,47.4,57.6
156,Man,81.5,57.5,65.8,60.325
157,Man,95,68,82.5,76.75
158,Man,95.5,80.5,84.3,75.775
159,Man,77.5,80.9,75,76.425
160,Man,82,46,54,53
161,Man,93.8,82.5,80.5,84.65
162,Man,89,83.5,92,77.1197
163,Man,82,78.5,82,61.7972
164,Man,73.5,80,82,73.5563
165,Man,73.5,82.8,79.5,69.9459
166,Woman,79,86.5,97,80.5324
167,Man,71.5,71,58,62.4331
168,Man,92.5,92,93.5,82.2
169,Woman,85.5,90.5,85,86.7901
170,Man,93,47,70,59.8218
171,Man,75.5,66,94,69.0648
172,Man,88.5,74,87,78.2085
173,Man,87,96,98.5,84.0577
174,Woman,89.5,77.5,88.9,69.211
175,Man,97.5,94.5,76,78.931
176,Woman,59,73,85.5,58.2606
177,Man,81,87,86.5,72.1352
178,Man,73.5,57.5,83,61.7713
179,Man,90.5,53,78.5,60.7915
180,Man,70,62.5,85,64.5225
181,Man,98.5,98,90,80.3761
182,Man,85.5,67,86,67.6535
183,Man,78,58,92.5,65.1831
184,Man,86.5,85,85,73.5972
185,Woman,99.3,96,89,91.4868
186,Man,90.5,78.5,79.5,73.0634
187,Man,86.5,67.5,85.5,70.0746
188,Man,80,94,90.5,88.431
189,Man,72,95,78,77.3507
190,Man,72.5,69.5,92,73.5648
191,Man,77.5,74,82,73.1493
192,Man,74,49.5,82,64.669
193,Man,79,80.5,80.5,71.9845
194,Man,80,82,77,67.7986
195,Man,97.4,66.9,83,74.9276
196,Man,61.5,64.5,86,63.7651
197,Man,86,67,96.8,73.7346
198,Woman,75.7143,62.6,45.5556,59.5549
199,Woman,80.7143,38,78.3333,65.2202
200,Woman,88.2143,75.1,70,72.367
201,Man,81.7857,76,68.3333,74.112
202,Man,96.0714,68.1,74.4444,70.4423
203,Man,NA,58,78.3333,46.7231
204,Man,73.5714,62.1,97.7778,69.103
205,Man,71.0714,41.5,55.5556,53.9348
206,Man,66.4286,59.1,85.5556,68.5149
207,Man,85.7143,77.1,83.3333,79.881
208,Woman,88.9286,72,93.3333,82.3626
209,Man,65.7143,60.5,30,48.5152
210,Man,92.5,63.5,92.7778,80.3655
211,Woman,86.0714,77.5,96.6667,80.3527
212,Man,75,71.9,88.3333,70.3606
213,Man,95.7143,90.1,98.8889,93.3003
214,Man,88.9286,52.5,62.5,61.1081
215,Man,94.6429,90,90,87.6431
216,Man,92.5,80,96.1111,87.9477
217,Woman,91.0714,39.5,78.8889,67.9143
218,Man,92.8571,73.5,92.1111,86.2788
219,Woman,86.0714,45.5,55.5556,59.8701
220,Man,87.1429,81.6,73.8889,76.4304
221,Man,74.2857,52.6,47.2222,56.3211
222,Man,95.7143,78,84.4444,83.2086
223,Man,83.2143,64.6,58.8889,68.0731
224,Man,85,78.1,82.2222,70.5416
225,Man,85.7143,68.1,72,66.1202
226,Woman,94.6429,94.5,96.1111,90.719
227,Man,90.7143,77.5,78.2222,77.534
228,Man,86.4286,70.1,88.3333,74.5553
229,Man,98.2143,89.1,71.1111,85.5208
230,Woman,95,86,78.3333,83.6959
231,Man,97.1429,53.5,67.2222,72.1189
232,Man,85,63,75,67.1996
233,Man,72.8571,48.5,90.5556,66.4035
