Demographic_Category,Loan Category,Loan_Amount_Issued
ADULT SINGLE,PERSONAL,5200
OVER 50s,PERSONAL,5100
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG SINGLE,PERSONAL,5000
YOUNG FAMILY,BUSINESS,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
YOUNG FAMILY,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
ADULT SINGLE,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
SINGLE PARENT,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 50s,PERSONAL,5000
OVER 65s,BUSINESS,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
OVER 65s,PERSONAL,5000
YOUNG FAMILY,PERSONAL,4800
OVER 50s,PERSONAL,4600
YOUNG SINGLE,PERSONAL,4500
YOUNG SINGLE,PERSONAL,4500
YOUNG SINGLE,PERSONAL,4500
YOUNG SINGLE,PERSONAL,4500
YOUNG SINGLE,PERSONAL,4500
YOUNG FAMILY,PERSONAL,4500
YOUNG FAMILY,PERSONAL,4500
SINGLE PARENT,PERSONAL,4500
SINGLE PARENT,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 50s,PERSONAL,4500
OVER 65s,PERSONAL,4500
OVER 65s,PERSONAL,4500
YOUNG FAMILY,PERSONAL,4400
OVER 50s,PERSONAL,4400
OVER 65s,PERSONAL,4400
YOUNG SINGLE,PERSONAL,4300
OVER 65s,PERSONAL,4300
YOUNG FAMILY,PERSONAL,4250
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG SINGLE,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
YOUNG FAMILY,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
ADULT SINGLE,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
SINGLE PARENT,PERSONAL,4000
OVER 50s,BUSINESS,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 50s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
OVER 65s,PERSONAL,4000
YOUNG SINGLE,PERSONAL,3900
YOUNG SINGLE,PERSONAL,3800
OVER 65s,PERSONAL,3800
OVER 50s,PERSONAL,3733
YOUNG SINGLE,PERSONAL,3700
YOUNG SINGLE,PERSONAL,3700
OVER 50s,PERSONAL,3700
OVER 50s,PERSONAL,3600
OVER 50s,PERSONAL,3600
OVER 65s,PERSONAL,3541
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG SINGLE,PERSONAL,3500
YOUNG FAMILY,PERSONAL,3500
YOUNG FAMILY,PERSONAL,3500
YOUNG FAMILY,PERSONAL,3500
YOUNG FAMILY,PERSONAL,3500
ADULT SINGLE,PERSONAL,3500
ADULT SINGLE,PERSONAL,3500
ADULT SINGLE,PERSONAL,3500
ADULT SINGLE,PERSONAL,3500
ADULT SINGLE,PERSONAL,3500
SINGLE PARENT,PERSONAL,3500
SINGLE PARENT,PERSONAL,3500
SINGLE PARENT,PERSONAL,3500
SINGLE PARENT,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 50s,PERSONAL,3500
OVER 65s,BUSINESS,3500
OVER 65s,PERSONAL,3500
OVER 65s,PERSONAL,3500
OVER 65s,PERSONAL,3500
OVER 65s,PERSONAL,3500
OVER 50s,PERSONAL,3490
YOUNG SINGLE,PERSONAL,3400
SINGLE PARENT,PERSONAL,3400
OVER 50s,PERSONAL,3400
OVER 65s,PERSONAL,3400
ADULT SINGLE,PERSONAL,3350
OVER 50s,PERSONAL,3350
YOUNG SINGLE,PERSONAL,3300
YOUNG FAMILY,PERSONAL,3300
ADULT SINGLE,PERSONAL,3300
OVER 65s,PERSONAL,3200
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG SINGLE,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
YOUNG FAMILY,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
ADULT SINGLE,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
SINGLE PARENT,PERSONAL,3000
OVER 50s,BUSINESS,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 50s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
OVER 65s,PERSONAL,3000
YOUNG FAMILY,PERSONAL,2900
SINGLE PARENT,PERSONAL,2850
YOUNG SINGLE,PERSONAL,2800
YOUNG FAMILY,PERSONAL,2800
SINGLE PARENT,PERSONAL,2800
OVER 65s,PERSONAL,2800
OVER 65s,PERSONAL,2770
OVER 50s,PERSONAL,2730
YOUNG FAMILY,PERSONAL,2700
ADULT SINGLE,PERSONAL,2700
SINGLE PARENT,PERSONAL,2700
OVER 50s,PERSONAL,2700
OVER 50s,PERSONAL,2700
YOUNG SINGLE,PERSONAL,2600
YOUNG SINGLE,PERSONAL,2600
OVER 50s,PERSONAL,2600
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG SINGLE,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
YOUNG FAMILY,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
ADULT SINGLE,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
SINGLE PARENT,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 50s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 65s,PERSONAL,2500
OVER 50s,PERSONAL,2431.05
OVER 50s,PERSONAL,2425
SINGLE PARENT,PERSONAL,2400
